reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
8e021e97-f274-415f-98e6-731f15eddfe0,Piyush Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjVOd8mHlwBOpWWg8LFRettrYKJYnDECHa5O36XJDzGfKkvME37l,Acha ha instagram,5,0,363.0.0.29.80,2025-01-24 10:58:35,,,363.0.0.29.80
ad79e3db-2dd3-4b67-aaa9-80bd609358e2,barry cline,https://play-lh.googleusercontent.com/a/ACg8ocJDp9Nq0-gHQ1SDep-GaSakUsLhd_oTnL3RTS3wfwgWLBcNYg=mo,I love Instagram. It's my favorite social media platform. I hate threads tho. It's the most messed up app I've ever seen.,5,3,364.0.0.35.86,2025-01-24 09:46:30,,,364.0.0.35.86
544154fb-b8fe-4e42-b954-d09d3939815e,GAMING King,https://play-lh.googleusercontent.com/a/ACg8ocIsgnZ5XJqY8y1uMjbpc36kn49tYF90WEONKYUaaZZ5bEuT85s=mo,Op ☺️,5,1,364.0.0.35.86,2025-01-24 07:37:14,,,364.0.0.35.86
02787ad2-f63a-4227-a99e-33560c2a267e,Sarth Pawar,https://play-lh.googleusercontent.com/a-/ALV-UjXehnnqfOdr9HEvnLaotOnJ1Ggnod4L27SjgWHz0CdW64KIxuVr,Nice,5,1,335.0.0.39.93,2025-01-23 20:04:30,,,335.0.0.39.93
eec491a3-26e2-4a1d-a7a3-4f759c1ecba7,Reddy Kosana,https://play-lh.googleusercontent.com/a/ACg8ocISaU2EBpkSL36qA9--d4zljxbA_lS_0ABe4eU_Pv39osrHcw=mo,Prasana,5,0,364.0.0.35.86,2025-01-23 17:39:55,,,364.0.0.35.86
e92e84c9-f949-4307-985c-43beded24a0b,AMBADy2010 Priya,https://play-lh.googleusercontent.com/a/ACg8ocLpFbCqPhGespgq1firlGrW2320ZPErw-in95icrPDaBmK5=mo,Super APP SUPER,5,1,364.0.0.35.86,2025-01-23 17:23:55,,,364.0.0.35.86
d33694e9-5177-459e-a063-af12ab38bfca,alishba laiqat,https://play-lh.googleusercontent.com/a/ACg8ocKiuvToo2ftwSK48WFu24hmtaPhY1yWhakjLtUwq72ViH8cQQ=mo,good app you can talk to someone call them and it is great source of fame,5,17,364.0.0.35.86,2025-01-21 21:48:11,,,364.0.0.35.86
118b6551-cca5-4529-b0ab-40bfe1ae0c19,Narend Singh,https://play-lh.googleusercontent.com/a-/ALV-UjWmB8rXFxcIKwuNd9C1qcIHaqWodHnaBCGDpET6TC8tRRay_80y,narend_singh423 Follow Guys,5,0,364.0.0.18.86,2025-01-20 22:49:35,,,364.0.0.18.86
28ace81b-0f4b-45e7-913b-ba0a81dd0674,Prithviraj,https://play-lh.googleusercontent.com/a-/ALV-UjVa-nEi0hp_tqcVO1gF-L3dhA5C_1XdBeUofZcEwQPEoiisjSG7,This app is very wonderful,5,2,364.0.0.18.86,2025-01-20 18:43:03,,,364.0.0.18.86
58ce1c90-669b-43db-8cca-2c3f51c090b3,Ganga Kawer,https://play-lh.googleusercontent.com/a/ACg8ocJJQZjaAQ6GXWFUQ6y896rGks8bUOkboNRJdZ_R1BpwpOzqwQ=mo,He is good app,5,5,,2025-01-12 12:32:33,,,
f09951f4-9512-4581-9d58-46325ef2099e,Dayal Wakre,https://play-lh.googleusercontent.com/a/ACg8ocIMB1JtjORqE8wo8HDahHRd79RLcg4OHHPoqg9sKLba9pPxvw=mo,Instagram ko update kar do,5,13,362.0.0.33.241,2025-01-12 12:31:32,,,362.0.0.33.241
a269f118-644a-4206-9839-8022d50bcf7e,Subrata Dey,https://play-lh.googleusercontent.com/a/ACg8ocKplI2gzsgLntAWqghHhzdKy6qYCJ5y9ruey8JTJ8PDBY_wUF8=mo,Ok,5,8,278.0.0.22.117,2025-01-12 12:31:03,,,278.0.0.22.117
